Object_Class,Frequency
person,3443
tie,263
sheep,104
backpack,6
frisbee,12
kite,6
banana,3
orange,6
clock,12
dog,74
chair,42
boat,5
traffic light,7
truck,9
cow,29
car,77
microwave,6
oven,5
cell phone,47
cake,19
cat,33
mouse,5
skateboard,3
surfboard,4
horse,28
bottle,40
cup,71
wine glass,9
bowl,31
potted plant,22
book,7
suitcase,2
vase,12
donut,21
laptop,14
bed,5
sink,3
teddy bear,4
train,3
hot dog,25
toilet,2
airplane,17
remote,4
bird,37
elephant,6
sports ball,13
bus,1
bear,10
umbrella,9
motorcycle,4
couch,1
handbag,8
bicycle,6
toothbrush,1
keyboard,2
baseball glove,6
apple,4
tv,5
stop sign,5
baseball bat,3
fork,3
bench,2
zebra,2
refrigerator,2
dining table,2
sandwich,2
pizza,4
spoon,2
carrot,5
skis,1
knife,1
tennis racket,2
